"","ind","species","site","leaf","herb","herb_bin"
"288",96,2,1,3,0,1
"289",97,2,1,1,0,0
"290",97,2,1,2,0,0
"291",97,2,1,3,0,0
"292",98,2,1,1,0,0
"293",98,2,1,2,0,0
"294",98,2,1,3,0,0
"295",99,2,1,1,0,1
"296",99,2,1,2,0,1
"297",99,2,1,3,1,1
"298",100,2,1,1,4,1
"299",100,2,1,2,1,1
"300",100,2,1,3,3,1
"301",101,1,1,1,2,1
"302",101,1,1,2,0,1
"303",101,1,1,3,1,1
"304",102,1,1,1,0,0
"305",102,1,1,2,0,0
"306",102,1,1,3,0,0
"307",103,1,1,1,0,1
"308",103,1,1,2,0,1
"309",103,1,1,3,1,1
"310",104,1,1,1,0,0
"311",104,1,1,2,0,0
"312",104,1,1,3,0,0
"313",105,1,1,1,0,0
"314",105,1,1,2,0,0
"315",105,1,1,3,0,0
"316",106,1,1,1,1,1
"317",106,1,1,2,3,1
"318",106,1,1,3,0,1
"319",107,1,1,1,0,1
"320",107,1,1,2,2,1
"321",107,1,1,3,0,1
"322",108,1,1,1,0,1
"323",108,1,1,2,0,1
"324",108,1,1,3,1,1
"325",109,1,1,1,0,0
"326",109,1,1,2,0,0
"327",109,1,1,3,0,0
"328",110,1,1,1,0,0
"329",110,1,1,2,0,0
"330",110,1,1,3,0,0
"331",111,1,1,1,0,0
"332",111,1,1,2,0,0
"333",111,1,1,3,0,0
"334",112,1,1,1,0,0
"335",112,1,1,2,0,0
"336",112,1,1,3,0,0
"337",113,1,1,1,0,1
"338",113,1,1,2,0,1
"339",113,1,1,3,1,1
"340",114,1,1,1,0,0
"341",114,1,1,2,0,0
"342",114,1,1,3,0,0
"343",115,1,1,1,1,1
"344",115,1,1,2,0,1
"345",115,1,1,3,3,1
"346",116,1,1,1,1,1
"347",116,1,1,2,0,1
"348",116,1,1,3,0,1
"349",117,1,1,1,0,0
"350",117,1,1,2,0,0
"351",117,1,1,3,0,0
"352",118,1,1,1,3,1
"353",118,1,1,2,0,1
"354",118,1,1,3,0,1
"355",119,1,1,1,1,1
"356",119,1,1,2,50,1
"357",119,1,1,3,0,1
"358",120,1,1,1,1,1
"359",120,1,1,2,0,1
"360",120,1,1,3,0,1
"361",121,1,4,1,0,1
"362",121,1,4,2,4,1
"363",121,1,4,3,0,1
"364",122,1,4,1,0,0
"365",122,1,4,2,0,0
"366",122,1,4,3,0,0
"367",123,1,4,1,0,0
"368",123,1,4,2,0,0
"369",123,1,4,3,0,0
"370",124,1,4,1,0,0
"371",124,1,4,2,0,0
"372",124,1,4,3,0,0
"373",125,1,4,1,0,0
"374",125,1,4,2,0,0
"375",125,1,4,3,0,0
"376",126,1,4,1,0,0
"377",126,1,4,2,0,0
"378",126,1,4,3,0,0
"379",127,1,4,1,0,0
"380",127,1,4,2,0,0
"381",127,1,4,3,0,0
"382",128,1,4,1,0,0
"383",128,1,4,2,0,0
"384",128,1,4,3,0,0
"385",129,1,4,1,0,0
"386",129,1,4,2,0,0
"387",129,1,4,3,0,0
"388",130,1,4,1,0,1
"389",130,1,4,2,1,1
"390",130,1,4,3,0,1
"391",131,1,4,1,0,1
"392",131,1,4,2,0,1
"393",131,1,4,3,1,1
"394",132,1,4,1,0,1
"395",132,1,4,2,0,1
"396",132,1,4,3,25,1
"397",133,1,4,1,0,1
"398",133,1,4,2,2,1
"399",133,1,4,3,0,1
"400",134,1,4,1,0,0
"401",134,1,4,2,0,0
"402",134,1,4,3,0,0
"403",135,1,4,1,0,0
"404",135,1,4,2,0,0
"405",135,1,4,3,0,0
"406",136,1,4,1,0,0
"407",136,1,4,2,0,0
"408",136,1,4,3,0,0
"409",137,1,4,1,0,0
"410",137,1,4,2,0,0
"411",137,1,4,3,0,0
